time,feedback
4,0
8,0
12,0
16,0
20,0
24,0
28,0
32,0
36,0
40,0
44,0
48,0
52,0
56,0
60,0
64,0
68,0
72,0
76,0
80,0
84,0
88,0
92,0
96,0
100,0
104,0
108,0
112,0
116,0
120,0
124,0
128,0
132,0
136,0
140,0
144,0
148,0
152,0
156,0
160,0
164,0
168,0
172,0
176,0
180,0
184,0
188,0
192,0
196,0
200,0
204,0
208,0
212,0
216,0
220,0
224,0
228,0
232,0
236,0
240,0
244,0
248,0
252,0
256,0
260,0
264,0
268,0
272,0
276,0
280,0
284,0
288,0
292,0
296,0
300,0
304,0
308,0
312,0
316,0
320,0
324,0
328,0
332,0
336,0
340,0
344,0
348,0
352,0
356,0
360,0
364,0
368,0
372,0
376,0
380,0
384,0
388,0
392,0
396,0
400,0
404,0
408,0
412,0
416,0
420,0
424,0
428,0
432,0
436,0
440,0
444,0
448,0
452,0
456,0
460,0
464,0
468,0
472,0
476,0
480,0
484,0
488,0
492,0
496,0
500,0
504,0
508,0
512,0
516,0
520,0
524,0
528,0
532,0
536,0
540,0
544,0
548,0
552,0
556,0
560,0
564,0
568,0
572,0
576,0
580,0
584,0
588,0
592,0
596,0
600,0
604,0
608,0
612,0
616,0
620,0
624,0
628,0
632,0
636,0
640,0
644,0
648,0
652,0
656,0
660,0
664,0
668,0
672,0
676,0
680,0
684,0
688,0
692,0
696,0
700,0
704,0
708,0
712,0
716,0
720,0
724,0
728,0
732,0
736,0
740,0
744,0
748,0
752,0
756,0
760,0
764,0
768,0
772,0
776,0
780,0
784,0
788,0
792,0
796,0
800,0
804,0
808,0
812,0
816,0
820,0
824,0
828,0
832,0
836,0
840,0
844,0
848,0
852,0
856,0
860,0
864,0
868,0
872,0
876,0
880,0
884,0
888,0
892,0
896,0
900,0
904,0
908,0
912,0
916,0
920,0
924,0
928,0
932,0
936,0
940,0
944,0
948,0
952,0
956,0
960,0
964,0
968,0
972,0
976,0
980,0
984,0
988,0
992,0
996,0
1000,0
1004,0
1008,0
1012,0
1016,0
1020,0
1024,0
1028,0
1032,0
1036,0
1040,0
1044,0
1048,0
1052,0
1056,0
1060,0
1064,0
1068,0
1072,0
1076,0
1080,0
1084,0
1088,0
1092,0
1096,0
1100,0
1104,0
1108,0
1112,0
1116,0
1120,0
1124,0
1128,0
1132,0
1136,0
1140,0
1144,0
1148,0
1152,0
1156,0
1160,0
1164,0
1168,0
1172,0
1176,0
1180,0
1184,0
1188,0
1192,0
1196,0
1200,0
1204,0
1208,0
1212,0
1216,0
1220,0
1224,0
1228,0
1232,0
1236,0
1240,0
1244,0
1248,0
1252,0
1256,0
1260,0
1264,0
1268,0
1272,0
1276,0
1280,0
1284,0
1288,0
1292,0
1296,0
1300,0
1304,0
1308,0
1312,0
1316,0
1320,0
1324,0
1328,0
1332,0
1336,0
1340,0
1344,0
1348,0
1352,0
1356,0
1360,0
1364,0
1368,0
1372,0
1376,0
1380,0
1384,0
1388,0
1392,0
1396,0
1400,0
1404,0
1408,0
1412,0
1416,0
1420,0
1424,0
1428,0
1432,0
1436,0
1440,0
1444,0
1448,0
1452,0
1456,0
1460,0
1464,0
1468,0
1472,0
1476,0
1480,0
1484,0
1488,0
1492,0
1496,0
1500,0
1504,0
1508,0
1512,0
1516,0
1520,0
1524,0
1528,0
1532,0
1536,0
1540,0
1544,0
1548,0
1552,0
1556,0
1560,0
1564,0
1568,0
1572,0
1576,0
1580,0
1584,0
1588,0
1592,0
1596,0
1600,0
1604,0
1608,0
1612,0
1616,0
1620,0
1624,0
1628,0
1632,0
1636,0
1640,0
1644,0
1648,0
1652,0
1656,0
1660,0
1664,0
1668,0
1672,0
1676,0
1680,0
1684,0
1688,0
1692,0
1696,0
1700,0
1704,0
1708,0
1712,0
1716,0
1720,0
1724,0
1728,0
1732,0
1736,0
1740,0
1744,0
1748,0
1752,0
1756,0
1760,0
1764,0
1768,0
1772,0
1776,0
1780,0
1784,0
1788,0
1792,0
1796,0
1800,0
1804,0
1808,0
1812,0
