time,DAC_vld,Tx_1bit,Tx_vld,Rx_1bit,Rx_tdata_1,Rx_tdata_0,Rx_tvalid,Rx_tlast,Rx_tuser
4,x,x,x,0,0,0,0,0,1
8,x,x,x,0,0,0,0,0,1
12,x,x,x,0,0,0,0,0,1
16,x,x,x,0,0,0,0,0,1
20,x,x,x,0,0,0,0,0,1
24,x,x,x,0,0,0,0,0,1
28,x,x,x,0,0,0,0,0,1
32,x,x,x,0,0,0,0,0,1
36,x,0,0,0,0,0,0,0,1
40,x,0,0,0,0,0,0,0,1
44,x,0,0,0,0,0,0,0,1
48,x,0,0,0,0,0,0,0,1
52,x,0,0,0,0,0,0,0,1
56,x,0,0,0,0,0,0,0,1
60,x,0,0,0,0,0,0,0,1
64,x,0,0,0,0,0,0,0,1
68,x,0,0,0,0,0,0,0,1
72,x,0,0,0,0,0,0,0,1
76,x,0,0,0,0,0,0,0,1
80,x,0,0,0,0,0,0,0,1
84,x,0,0,0,0,0,0,0,1
88,x,0,0,0,0,0,0,0,1
92,x,0,0,0,0,0,0,0,1
96,x,0,0,0,0,0,0,0,1
100,x,0,0,0,0,0,0,0,1
104,x,0,0,0,0,0,0,0,1
108,x,0,0,0,0,0,0,0,1
112,x,0,0,0,0,0,0,0,1
116,x,0,0,0,0,0,0,0,1
120,x,0,0,0,0,0,0,0,1
124,x,0,0,0,0,0,0,0,1
128,x,0,0,0,0,0,0,0,1
132,x,0,0,0,0,0,0,0,1
136,x,0,0,0,0,0,0,0,1
140,x,0,0,0,0,0,0,0,1
144,x,0,0,0,0,0,0,0,1
148,x,0,0,0,0,0,0,0,1
152,x,0,0,0,0,0,0,0,1
156,x,0,0,0,0,0,0,0,1
160,x,0,0,0,0,0,0,0,1
164,x,0,0,0,0,0,0,0,1
168,x,0,0,0,0,0,0,0,1
172,x,0,0,0,0,0,0,0,1
176,x,0,0,0,0,0,0,0,1
180,x,0,0,0,0,0,0,0,1
184,x,0,0,0,0,0,0,0,1
188,x,0,0,0,0,0,0,0,1
192,x,0,0,0,0,0,0,0,1
196,x,0,0,0,0,0,0,0,1
200,x,0,0,0,0,0,0,0,1
204,x,0,0,0,0,0,0,0,1
208,x,0,0,0,0,0,0,0,1
212,x,0,0,0,0,0,0,0,1
216,x,0,0,0,0,0,0,0,1
220,x,0,0,0,0,0,0,0,1
224,x,0,0,0,0,0,0,0,1
228,x,0,0,0,0,0,0,0,1
232,x,0,0,0,0,0,0,0,1
236,x,0,0,0,0,0,0,0,1
240,x,0,0,0,0,0,0,0,1
244,x,0,0,0,0,0,0,0,1
248,x,0,0,0,0,0,0,0,1
252,x,0,0,0,0,0,0,0,1
256,x,0,0,0,0,0,0,0,1
260,x,0,0,0,0,0,0,0,1
264,x,0,0,0,0,0,0,0,1
268,x,0,0,0,0,0,0,0,1
272,x,0,0,0,0,0,0,0,1
276,x,0,0,0,0,0,0,0,1
280,x,0,0,0,0,0,0,0,1
284,x,0,0,0,0,0,0,0,1
288,x,0,0,0,0,0,0,0,1
292,x,0,0,0,0,0,0,0,1
296,0,0,0,0,0,0,0,0,1
300,0,0,0,0,0,0,0,0,1
304,0,0,0,0,0,0,0,0,1
308,0,0,0,0,0,0,0,0,1
312,0,0,0,0,0,0,0,0,1
316,0,0,0,0,0,0,0,0,1
320,0,0,0,0,0,0,0,0,1
324,0,0,0,0,0,0,0,0,1
328,0,0,0,0,0,0,0,0,1
332,0,0,0,0,0,0,0,0,1
336,0,0,0,0,0,0,0,0,1
340,0,0,0,0,0,0,0,0,1
344,0,0,0,0,0,0,0,0,1
348,0,0,0,0,0,0,0,0,1
352,0,0,0,0,0,0,0,0,1
356,0,0,0,0,0,0,0,0,1
360,0,0,0,0,0,0,0,0,1
364,0,0,0,0,0,0,0,0,1
368,0,0,0,0,0,0,0,0,1
372,0,0,0,0,0,0,0,0,1
376,0,0,0,0,0,0,0,0,1
380,0,0,0,0,0,0,0,0,1
384,0,0,0,0,0,0,0,0,1
388,0,0,0,0,0,0,0,0,1
392,0,0,0,0,0,0,0,0,1
396,0,0,0,0,0,0,0,0,1
400,0,0,0,0,0,0,0,0,1
404,0,0,0,0,0,0,0,0,1
408,0,0,0,0,0,0,0,0,1
412,0,0,0,0,0,0,0,0,1
416,0,0,0,0,0,0,0,0,1
420,0,0,0,0,0,0,0,0,1
424,0,0,0,0,0,0,0,0,1
428,0,0,0,0,0,0,0,0,1
432,0,0,0,0,0,0,0,0,1
436,0,0,0,0,0,0,0,0,1
440,0,0,0,0,0,0,0,0,1
444,0,0,0,0,0,0,0,0,1
448,0,0,0,0,0,0,0,0,1
452,0,0,0,0,0,0,0,0,1
456,0,0,0,0,0,0,0,0,1
460,0,0,0,0,0,0,0,0,1
464,0,0,0,0,0,0,0,0,1
468,0,0,0,0,0,0,0,0,1
472,0,0,0,0,0,0,0,0,1
476,0,0,0,0,0,0,0,0,1
480,0,0,0,0,0,0,0,0,1
484,0,0,0,0,0,0,0,0,1
488,0,0,0,0,0,0,0,0,1
492,0,0,0,0,0,0,0,0,1
496,0,0,0,0,0,0,0,0,1
500,0,0,0,0,0,0,0,0,1
504,0,0,0,0,0,0,0,0,1
508,0,0,0,0,0,0,0,0,1
512,0,0,0,0,0,0,0,0,1
516,0,0,0,0,0,0,0,0,1
520,0,0,0,0,0,0,0,0,1
524,0,0,0,0,0,0,0,0,1
528,0,0,0,0,0,0,0,0,1
532,0,0,0,0,0,0,0,0,1
536,0,0,0,0,0,0,0,0,1
540,0,0,0,0,0,0,0,0,1
544,0,0,0,0,0,0,0,0,1
548,0,0,0,0,0,0,0,0,1
552,0,0,0,0,0,0,0,0,1
556,0,0,0,0,0,0,0,0,1
560,0,0,0,0,0,0,0,0,1
564,0,0,0,0,0,0,0,0,1
568,0,0,0,0,0,0,0,0,1
572,0,0,0,0,0,0,0,0,1
576,0,0,0,0,0,0,0,0,1
580,0,0,0,0,0,0,0,0,1
584,0,0,0,0,0,0,0,0,1
588,0,0,0,0,0,0,0,0,1
592,0,0,0,0,0,0,0,0,1
596,0,0,0,0,0,0,0,0,1
600,0,0,0,0,0,0,0,0,1
604,0,0,0,0,0,0,0,0,1
608,0,0,0,0,0,0,0,0,1
612,0,0,0,0,0,0,0,0,1
616,0,0,0,0,0,0,0,0,1
620,0,0,0,0,0,0,0,0,1
624,0,0,0,0,0,0,0,0,1
628,0,0,0,0,0,0,0,0,1
632,0,0,0,0,0,0,0,0,1
636,0,0,0,0,0,0,0,0,1
640,0,0,0,0,0,0,0,0,1
644,0,0,0,0,0,0,0,0,1
648,0,0,0,0,0,0,0,0,1
652,0,0,0,0,0,0,0,0,1
656,0,0,0,0,0,0,0,0,1
660,0,0,0,0,0,0,0,0,1
664,0,0,0,0,0,0,0,0,1
668,0,0,0,0,0,0,0,0,1
672,0,0,0,0,0,0,0,0,1
676,0,0,0,0,0,0,0,0,1
680,0,0,0,0,0,0,0,0,1
684,0,0,0,0,0,0,0,0,1
688,0,0,0,0,0,0,0,0,1
692,0,0,0,0,0,0,0,0,1
696,0,0,0,0,0,0,0,0,1
700,0,0,0,0,0,0,0,0,1
704,0,0,0,0,0,0,0,0,1
708,0,0,0,0,0,0,0,0,1
712,0,0,0,0,0,0,0,0,1
716,0,0,0,0,0,0,0,0,1
720,0,0,0,0,0,0,0,0,1
724,0,0,0,0,0,0,0,0,1
728,0,0,0,0,0,0,0,0,1
732,0,0,0,0,0,0,0,0,1
736,0,0,0,0,0,0,0,0,1
740,0,0,0,0,0,0,0,0,1
744,0,0,0,0,0,0,0,0,1
748,0,0,0,0,0,0,0,0,1
752,0,0,0,0,0,0,0,0,1
