time, clk_1M024, rst_n_1M024, clk_16M384, rst_16M384, DAC_I, DAC_Q, DAC_bits, DAC_vld, pn_5, pn_4
                   1, 1, 0, 0, 1,     x,     x, 0, x, 0, 0
                   2, 1, 0, 1, 1,     x,     x, 0, x, 0, 0
                   3, 1, 0, 0, 1,     x,     x, 0, x, 0, 0
                   4, 1, 0, 1, 1,     x,     x, 0, x, 0, 0
                   5, 1, 0, 0, 1,     x,     x, 0, x, 0, 0
                   6, 1, 0, 1, 1,     x,     x, 0, x, 0, 0
                   7, 1, 0, 0, 1,     x,     x, 0, x, 0, 0
                   8, 1, 0, 1, 1,     x,     x, 0, x, 0, 0
                   9, 1, 0, 0, 1,     x,     x, 0, x, 0, 0
                  10, 1, 0, 1, 1,     x,     x, 0, x, 0, 0
                  11, 1, 0, 0, 1,     x,     x, 0, x, 0, 0
                  12, 1, 0, 1, 1,     x,     x, 0, x, 0, 0
                  13, 1, 0, 0, 1,     x,     x, 0, x, 0, 0
                  14, 1, 0, 1, 1,     x,     x, 0, x, 0, 0
                  15, 1, 0, 0, 1,     x,     x, 0, x, 0, 0
                  16, 0, 0, 1, 1,     x,     x, 0, x, 0, 0
                  17, 0, 0, 0, 1,     x,     x, 0, x, 0, 0
                  18, 0, 0, 1, 1,     x,     x, 0, x, 0, 0
                  19, 0, 0, 0, 1,     x,     x, 0, x, 0, 0
                  20, 0, 0, 1, 1,     x,     x, 0, x, 0, 0
                  21, 0, 0, 0, 1,     x,     x, 0, x, 0, 0
                  22, 0, 0, 1, 1,     x,     x, 0, x, 0, 0
                  23, 0, 0, 0, 1,     x,     x, 0, x, 0, 0
                  24, 0, 0, 1, 1,     x,     x, 0, x, 0, 0
                  25, 0, 0, 0, 1,     x,     x, 0, x, 0, 0
                  26, 0, 0, 1, 1,     x,     x, 0, x, 0, 0
                  27, 0, 0, 0, 1,     x,     x, 0, x, 0, 0
                  28, 0, 0, 1, 1,     x,     x, 0, x, 0, 0
                  29, 0, 0, 0, 1,     x,     x, 0, x, 0, 0
                  30, 0, 0, 1, 1,     x,     x, 0, x, 0, 0
                  31, 0, 0, 0, 1,     x,     x, 0, x, 0, 0
                  32, 1, 0, 1, 1,     x,     x, 0, x, 0, 0
                  33, 1, 0, 0, 1,     x,     x, 0, x, 0, 0
                  34, 1, 0, 1, 1,     x,     x, 0, x, 0, 0
                  35, 1, 0, 0, 1,     x,     x, 0, x, 0, 0
                  36, 1, 0, 1, 1,     x,     x, 0, x, 0, 0
                  37, 1, 0, 0, 1,     x,     x, 0, x, 0, 0
                  38, 1, 0, 1, 1,     x,     x, 0, x, 0, 0
                  39, 1, 0, 0, 1,     x,     x, 0, x, 0, 0
                  40, 1, 0, 1, 1,     x,     x, 0, x, 0, 0
                  41, 1, 0, 0, 1,     x,     x, 0, x, 0, 0
                  42, 1, 0, 1, 1,     x,     x, 0, x, 0, 0
                  43, 1, 0, 0, 1,     x,     x, 0, x, 0, 0
                  44, 1, 0, 1, 1,     x,     x, 0, x, 0, 0
                  45, 1, 0, 0, 1,     x,     x, 0, x, 0, 0
                  46, 1, 0, 1, 1,     x,     x, 0, x, 0, 0
                  47, 1, 0, 0, 1,     x,     x, 0, x, 0, 0
                  48, 0, 0, 1, 1,     x,     x, 0, x, 0, 0
                  49, 0, 0, 0, 1,     x,     x, 0, x, 0, 0
                  50, 0, 0, 1, 1,     x,     x, 0, x, 0, 0
                  51, 0, 0, 0, 1,     x,     x, 0, x, 0, 0
                  52, 0, 0, 1, 1,     x,     x, 0, x, 0, 0
                  53, 0, 0, 0, 1,     x,     x, 0, x, 0, 0
                  54, 0, 0, 1, 1,     x,     x, 0, x, 0, 0
                  55, 0, 0, 0, 1,     x,     x, 0, x, 0, 0
