Sample in Buffer,Sample in Window,TRIGGER,top_i/system_ila_0/inst/probe0_1,top_i/system_ila_0/inst/probe1_1[1:0],top_i/system_ila_0/inst/probe2_1[11:0],top_i/system_ila_0/inst/probe3_1[11:0],top_i/system_ila_0/inst/probe4_1[11:0],top_i/system_ila_0/inst/probe5_1[11:0],top_i/system_ila_0/inst/probe6_1[15:0],top_i/system_ila_0/inst/probe7_1[15:0],top_i/system_ila_0/inst/probe8_1[11:0],top_i/system_ila_0/inst/probe9_1[1:0],top_i/system_ila_0/inst/probe10_1[15:0],top_i/system_ila_0/inst/probe11_1[15:0],top_i/system_ila_0/inst/probe12_1[1:0],top_i/system_ila_0/inst/probe13_1,top_i/system_ila_0/inst/probe14_1,top_i/system_ila_0/inst/probe15_1[7:0],top_i/system_ila_0/inst/probe16_1,top_i/system_ila_0/inst/probe17_1,top_i/system_ila_0/inst/probe18_1,top_i/system_ila_0/inst/probe19_1[7:0],top_i/system_ila_0/inst/probe20_1,top_i/system_ila_0/inst/probe21_1,top_i/system_ila_0/inst/probe22_1,top_i/system_ila_0/inst/probe23_1[15:0],top_i/system_ila_0/inst/probe24_1[15:0],top_i/system_ila_0/inst/probe25_1,top_i/system_ila_0/inst/probe26_1,top_i/system_ila_0/inst/probe27_1,top_i/system_ila_0/inst/probe28_1,top_i/system_ila_0/inst/probe29_1[15:0],top_i/system_ila_0/inst/probe30_1[15:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,HEX,SIGNED,SIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,SIGNED,SIGNED,HEX,HEX,HEX,HEX,SIGNED,UNSIGNED
0,0,0,1,3,-2046,-2,519,-85,2198,2308,-741,0,2198,2160,0,0,0,ff,0,0,0,00,0,1,0,23,0,0,0,0,0,0,8192
1,1,0,1,3,2,-2046,1033,-250,2775,2425,-1907,0,2198,2160,0,0,0,ff,0,0,0,00,0,1,0,-8,0,0,0,0,0,0,8192
2,2,0,1,3,2,-2046,1033,-506,2775,2425,-1907,0,2198,2160,0,0,0,ff,0,0,0,00,0,1,0,-8,0,0,0,0,0,0,8192
3,3,0,1,3,2046,2,572,1265,2412,2557,741,0,2189,2161,0,0,1,ff,0,0,0,00,0,1,0,27,0,0,0,0,0,0,8192
4,4,0,1,3,2046,2,572,241,2412,2557,741,0,2189,2161,0,0,0,ff,0,0,0,00,0,1,0,27,0,0,0,0,0,0,8192
5,5,0,1,3,-2,2046,-1420,437,2833,2586,1907,0,2189,2161,0,0,0,ff,0,0,0,00,0,1,0,-11,0,0,0,0,0,0,8192
6,6,0,1,3,-2,2046,-1420,181,2833,2586,1907,0,2189,2161,0,0,0,ff,0,0,0,00,0,1,0,-11,0,0,0,0,0,0,8192
7,7,0,1,3,-2046,-2,-667,-1335,2225,2539,-741,0,2189,2161,0,0,0,ff,0,0,0,00,0,1,0,20,0,0,0,0,0,0,8192
8,8,0,1,3,-2046,-2,-667,-311,2225,2539,-741,0,2189,2161,0,0,0,ff,0,0,0,00,0,1,0,20,0,0,0,0,0,0,8192
9,9,0,1,3,2,-2046,1512,-452,2340,2303,-1907,0,2189,2161,0,0,0,ff,0,0,0,00,0,1,0,-23,0,0,0,0,0,0,8192
10,10,0,1,3,2,-2046,1512,1852,2340,2303,-1907,0,2189,2161,0,0,0,ff,0,0,0,00,0,1,0,-23,0,0,0,0,0,0,8192
11,11,0,1,0,-2046,-2,659,1354,1398,1934,741,0,2189,2161,0,0,0,ff,0,0,0,00,0,1,0,2,0,0,0,0,0,0,8192
12,12,0,1,0,-2046,-2,659,330,1398,1934,741,0,2189,2161,0,0,0,ff,0,0,0,00,0,1,0,2,0,0,0,0,0,0,8192
13,13,0,1,0,2,-2046,-1518,444,1203,1370,1907,0,2189,2161,0,0,0,ff,0,0,0,00,0,1,0,-28,0,0,0,0,0,0,8192
14,14,0,1,0,2,-2046,-1518,188,1203,1370,1907,0,2189,2161,0,0,0,ff,0,0,0,00,0,1,0,-28,0,0,0,0,0,0,8192
15,15,0,1,0,2046,2,-657,-1347,33,720,-741,0,2189,2161,0,0,0,ff,0,0,0,00,0,1,0,-7,0,0,0,0,0,0,8192
16,16,0,1,0,2046,2,-657,-324,33,720,-741,0,2189,2161,0,0,0,ff,0,0,0,00,0,1,0,-7,0,0,0,0,0,0,8192
17,17,0,1,0,-2,2046,1523,-450,-267,-29,-1907,0,2189,2161,0,0,0,ff,0,0,0,00,0,1,0,-8,0,0,0,0,0,0,8192
18,18,0,1,0,-2,2046,1523,-194,-267,-29,-1907,0,2189,2161,0,0,0,ff,0,0,0,00,0,1,0,-8,0,0,0,0,0,0,8192
19,19,0,1,0,-2046,-2,652,1357,-1337,-730,741,0,2189,2161,0,0,0,ff,0,0,0,00,0,1,0,1,0,0,0,0,0,0,8192
