Sample in Buffer,Sample in Window,TRIGGER,top_i/system_ila_0/inst/probe0_1,top_i/system_ila_0/inst/probe1_1[1:0],top_i/system_ila_0/inst/probe2_1[11:0],top_i/system_ila_0/inst/probe3_1[11:0],top_i/system_ila_0/inst/probe4_1[11:0],top_i/system_ila_0/inst/probe5_1[11:0],top_i/system_ila_0/inst/probe6_1[15:0],top_i/system_ila_0/inst/probe7_1[15:0],top_i/system_ila_0/inst/probe8_1[11:0],top_i/system_ila_0/inst/probe9_1[1:0],top_i/system_ila_0/inst/probe10_1[15:0],top_i/system_ila_0/inst/probe11_1[15:0],top_i/system_ila_0/inst/probe12_1[1:0],top_i/system_ila_0/inst/probe13_1,top_i/system_ila_0/inst/probe14_1,top_i/system_ila_0/inst/probe15_1[7:0],top_i/system_ila_0/inst/probe16_1,top_i/system_ila_0/inst/probe17_1,top_i/system_ila_0/inst/probe18_1,top_i/system_ila_0/inst/probe19_1[7:0],top_i/system_ila_0/inst/probe20_1,top_i/system_ila_0/inst/probe21_1,top_i/system_ila_0/inst/probe22_1,top_i/system_ila_0/inst/probe23_1[15:0],top_i/system_ila_0/inst/probe24_1[15:0],top_i/system_ila_0/inst/probe25_1,top_i/system_ila_0/inst/probe26_1,top_i/system_ila_0/inst/probe27_1,top_i/system_ila_0/inst/probe28_1,top_i/system_ila_0/inst/probe29_1[15:0],top_i/system_ila_0/inst/probe30_1[15:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,HEX,SIGNED,SIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,SIGNED,SIGNED,HEX,HEX,HEX,HEX,SIGNED,UNSIGNED
0,0,0,1,3,-2046,-2,1055,-284,-2330,-2503,577,3,-2324,-2288,0,0,0,ff,0,0,0,00,0,1,0,27,0,0,0,0,0,0,8192
1,1,0,1,3,2,-2046,1055,-284,-2930,-2550,1963,3,-2324,-2288,0,0,0,ff,0,0,0,00,0,1,0,-13,0,0,0,0,0,0,8192
2,2,0,1,3,2,-2046,730,1317,-2930,-2550,1963,3,-2327,-2294,0,0,1,ff,0,0,0,00,0,1,0,-13,0,0,0,0,0,0,8192
3,3,0,1,3,2046,2,730,1317,-2551,-2762,-577,3,-2327,-2294,0,0,0,ff,0,0,0,00,0,1,0,31,0,0,0,0,0,0,8192
4,4,0,1,3,2046,2,-1436,495,-2551,-2762,-577,3,-2327,-2294,0,0,0,ff,0,0,0,00,0,1,0,31,0,0,0,0,0,0,8192
5,5,0,1,3,-2,2046,-1436,495,-2985,-2706,-1963,3,-2327,-2294,0,0,0,ff,0,0,0,00,0,1,0,-18,0,0,0,0,0,0,8192
6,6,0,1,3,-2,2046,-849,-1400,-2985,-2706,-1963,3,-2327,-2294,0,0,0,ff,0,0,0,00,0,1,0,-18,0,0,0,0,0,0,8192
7,7,0,1,3,-2046,-2,-849,-1400,-2351,-2722,577,3,-2327,-2294,0,0,0,ff,0,0,0,00,0,1,0,24,1,0,0,0,0,0,8192
8,8,0,1,3,-2046,-2,1540,-498,-2351,-2722,577,3,-2327,-2294,0,0,0,ff,0,0,0,00,0,1,0,24,1,0,0,0,0,0,8192
9,9,0,1,3,2,-2046,1540,-498,-2463,-2381,1963,3,-2327,-2294,0,0,0,ff,0,0,0,00,0,1,0,-29,0,0,0,0,0,0,8192
10,10,0,1,3,2,-2046,826,1400,-2463,-2381,1963,3,-2327,-2294,0,0,0,ff,0,0,0,00,0,1,0,-29,0,0,0,0,0,0,8192
11,11,0,1,0,-2046,-2,826,1400,-1480,-2056,-577,3,-2327,-2294,0,0,0,ff,0,0,0,00,0,1,0,6,0,0,0,0,0,0,8192
12,12,0,1,0,-2046,-2,-1536,508,-1480,-2056,-577,3,-2327,-2294,0,0,0,ff,0,0,0,00,0,1,0,6,0,0,0,0,0,0,8192
13,13,0,1,0,2,-2046,-1536,508,-1270,-1368,-1963,3,-2327,-2294,0,0,0,ff,0,0,0,00,0,1,0,-32,0,0,0,0,0,0,8192
14,14,0,1,0,2,-2046,-840,-1414,-1270,-1368,-1963,3,-2327,-2294,0,0,0,ff,0,0,0,00,0,1,0,-32,0,0,0,0,0,0,8192
15,15,0,1,0,2046,2,-840,-1414,-45,-750,577,3,-2327,-2294,0,0,0,ff,0,0,0,00,0,1,0,-4,0,0,0,0,0,0,8192
16,16,0,1,0,2046,2,1558,-498,-45,-750,577,3,-2327,-2294,0,0,0,ff,0,0,0,00,0,1,0,-4,0,0,0,0,0,0,8192
17,17,0,1,0,-2,2046,1558,-498,278,120,1963,3,-2327,-2294,0,0,0,ff,0,0,0,00,0,1,0,-9,0,0,0,0,0,0,8192
18,18,0,1,0,-2,2046,815,1400,278,120,1963,3,-2327,-2294,0,0,0,ff,0,0,0,00,0,1,0,-9,0,0,0,0,0,0,8192
19,19,0,1,0,-2046,-2,815,1400,1389,785,-577,3,-2327,-2294,0,0,0,ff,0,0,0,00,0,1,0,0,0,0,0,0,0,0,8192
20,20,0,1,0,-2046,-2,-1535,501,1389,785,-577,3,-2327,-2294,0,0,0,ff,0,0,0,00,0,1,0,0,0,0,0,0,0,0,8192
21,21,0,1,0,2,-2046,-1535,501,1646,1556,-1963,3,-2327,-2294,0,0,0,ff,0,0,0,00,0,1,0,20,0,0,0,0,0,0,8192
22,22,0,1,0,2,-2046,-842,-1416,1646,1556,-1963,3,-2327,-2294,0,0,0,ff,0,0,0,00,0,1,0,20,0,0,0,0,0,0,8192
23,23,0,1,0,2046,2,-842,-1416,2228,1976,577,3,-2327,-2294,0,0,0,ff,0,0,0,00,0,1,0,4,0,0,0,0,0,0,8192
24,24,0,1,0,2046,2,1569,-477,2228,1976,577,3,-2327,-2294,0,0,0,01,0,0,0,00,0,1,0,4,0,0,0,0,0,0,8192
25,25,0,1,0,-2,2046,1569,-477,2486,2383,1963,3,-2327,-2294,0,0,0,01,0,0,0,00,0,1,0,16,0,0,0,0,0,0,8192
26,26,0,1,0,-2,2046,758,1346,2486,2383,1963,3,-2327,-2294,0,0,0,01,0,0,0,00,0,1,0,16,0,0,0,0,0,0,8192
27,27,0,1,0,-2046,-2,758,1346,2708,2643,-577,3,-2327,-2294,0,0,0,01,0,0,0,00,0,1,0,7,0,0,0,0,0,0,8192
28,28,0,1,0,-2046,-2,-938,1328,2708,2643,-577,3,-2327,-2294,0,0,0,01,0,0,0,00,0,1,0,7,0,0,0,0,0,0,8192
29,29,0,1,0,2,-2046,-938,1328,2811,2789,-1963,3,-2327,-2294,0,0,0,01,0,0,0,00,0,1,0,5,0,0,0,0,0,0,8192
30,30,0,1,0,2,-2046,-465,1174,2811,2789,-1963,3,-2327,-2294,0,0,0,01,0,0,0,00,0,1,0,5,0,0,0,0,0,0,8192
