time,clk_1M024,rst_n_1M024,clk_16M384,rst_16M384,DAC_I,DAC_Q,DAC_bits,DAC_vld,pn_5,pn_4,DAC_bits_1,DAC_bits_0,ground,DAC_bits_X1,DAC_bits_X2
26920,1,1,1,0,2046.0,2.0,3.0,1.0,1,0,1,1,0,0,1
26921,1,1,0,0,-2.0,2046.0,3.0,1.0,1,0,1,1,0,0,1
26922,1,1,1,0,-2.0,2046.0,3.0,1.0,1,0,1,1,0,0,1
26923,1,1,0,0,-2046.0,-2.0,3.0,1.0,1,0,1,1,0,0,1
26924,1,1,1,0,-2046.0,-2.0,3.0,1.0,1,0,1,1,0,0,1
26925,1,1,0,0,2.0,-2046.0,3.0,1.0,1,0,1,1,0,0,1
26926,1,1,1,0,2.0,-2046.0,3.0,1.0,1,0,1,1,0,0,1
26927,1,1,0,0,2046.0,2.0,3.0,1.0,1,0,1,1,0,0,1
26928,0,1,1,0,2046.0,2.0,3.0,1.0,1,0,1,1,0,0,1
26929,0,1,0,0,-2.0,2046.0,3.0,1.0,1,0,1,1,0,0,1
26930,0,1,1,0,-2.0,2046.0,3.0,1.0,1,0,1,1,0,0,1
26931,0,1,0,0,2046.0,2.0,0.0,1.0,1,0,0,0,0,1,0
26932,0,1,1,0,2046.0,2.0,0.0,1.0,1,0,0,0,0,1,0
26933,0,1,0,0,-2.0,2046.0,0.0,1.0,1,0,0,0,0,1,0
26934,0,1,1,0,-2.0,2046.0,0.0,1.0,1,0,0,0,0,1,0
26935,0,1,0,0,-2046.0,-2.0,0.0,1.0,1,0,0,0,0,1,0
26936,0,1,1,0,-2046.0,-2.0,0.0,1.0,1,0,0,0,0,1,0
26937,0,1,0,0,2.0,-2046.0,0.0,1.0,1,0,0,0,0,1,0
26938,0,1,1,0,2.0,-2046.0,0.0,1.0,1,0,0,0,0,1,0
26939,0,1,0,0,2046.0,2.0,0.0,1.0,1,0,0,0,0,1,0
26940,0,1,1,0,2046.0,2.0,0.0,1.0,1,0,0,0,0,1,0
26941,0,1,0,0,-2.0,2046.0,0.0,1.0,1,0,0,0,0,1,0
26942,0,1,1,0,-2.0,2046.0,0.0,1.0,1,0,0,0,0,1,0
26943,0,1,0,0,-2046.0,-2.0,0.0,1.0,1,0,0,0,0,1,0
26944,1,1,1,0,-2046.0,-2.0,0.0,1.0,1,0,0,0,0,1,0
26945,1,1,0,0,2.0,-2046.0,0.0,1.0,0,0,0,0,0,1,0
26946,1,1,1,0,2.0,-2046.0,0.0,1.0,0,0,0,0,0,1,0
26947,1,1,0,0,2046.0,2.0,0.0,1.0,0,0,0,0,0,1,0
26948,1,1,1,0,2046.0,2.0,0.0,1.0,0,0,0,0,0,1,0
26949,1,1,0,0,-2.0,2046.0,0.0,1.0,0,0,0,0,0,1,0
26950,1,1,1,0,-2.0,2046.0,0.0,1.0,0,0,0,0,0,1,0
26951,1,1,0,0,-2046.0,-2.0,0.0,1.0,0,0,0,0,0,1,0
26952,1,1,1,0,-2046.0,-2.0,0.0,1.0,0,0,0,0,0,1,0
26953,1,1,0,0,2.0,-2046.0,0.0,1.0,0,0,0,0,0,1,0
26954,1,1,1,0,2.0,-2046.0,0.0,1.0,0,0,0,0,0,1,0
26955,1,1,0,0,2046.0,2.0,0.0,1.0,0,0,0,0,0,1,0
26956,1,1,1,0,2046.0,2.0,0.0,1.0,0,0,0,0,0,1,0
26957,1,1,0,0,-2.0,2046.0,0.0,1.0,0,0,0,0,0,1,0
26958,1,1,1,0,-2.0,2046.0,0.0,1.0,0,0,0,0,0,1,0
26959,1,1,0,0,-2046.0,-2.0,0.0,1.0,0,0,0,0,0,1,0
26960,0,1,1,0,-2046.0,-2.0,0.0,1.0,0,0,0,0,0,1,0
