time,clk_1M024,rst_n_1M024,clk_16M384,rst_16M384,DAC_I,DAC_Q,DAC_bits,DAC_vld,pn_5,pn_4,DAC_bits_1,DAC_bits_0,ground,DAC_bits_X1,DAC_bits_X2
10968,0,1,1,0,-2046.0,-2.0,0.0,1.0,0,1,0,0,0,0,1
10969,0,1,0,0,2.0,-2046.0,0.0,1.0,0,1,0,0,0,0,1
10970,0,1,1,0,2.0,-2046.0,0.0,1.0,0,1,0,0,0,0,1
10971,0,1,0,0,2046.0,2.0,0.0,1.0,0,1,0,0,0,0,1
10972,0,1,1,0,2046.0,2.0,0.0,1.0,0,1,0,0,0,0,1
10973,0,1,0,0,-2.0,2046.0,0.0,1.0,0,1,0,0,0,0,1
10974,0,1,1,0,-2.0,2046.0,0.0,1.0,0,1,0,0,0,0,1
10975,0,1,0,0,-2046.0,-2.0,0.0,1.0,0,1,0,0,0,0,1
10976,1,1,1,0,-2046.0,-2.0,0.0,1.0,0,1,0,0,0,0,1
10977,1,1,0,0,2.0,-2046.0,0.0,1.0,0,1,0,0,0,0,1
10978,1,1,1,0,2.0,-2046.0,0.0,1.0,0,1,0,0,0,0,1
10979,1,1,0,0,2046.0,2.0,0.0,1.0,0,1,0,0,0,0,1
10980,1,1,1,0,2046.0,2.0,0.0,1.0,0,1,0,0,0,0,1
10981,1,1,0,0,-2.0,2046.0,0.0,1.0,0,1,0,0,0,0,1
10982,1,1,1,0,-2.0,2046.0,0.0,1.0,0,1,0,0,0,0,1
10983,1,1,0,0,-2046.0,-2.0,0.0,1.0,0,1,0,0,0,0,1
10984,1,1,1,0,-2046.0,-2.0,0.0,1.0,0,1,0,0,0,0,1
10985,1,1,0,0,2.0,-2046.0,0.0,1.0,0,1,0,0,0,0,1
10986,1,1,1,0,2.0,-2046.0,0.0,1.0,0,1,0,0,0,0,1
10987,1,1,0,0,2046.0,2.0,0.0,1.0,0,1,0,0,0,0,1
10988,1,1,1,0,2046.0,2.0,0.0,1.0,0,1,0,0,0,0,1
10989,1,1,0,0,-2.0,2046.0,0.0,1.0,0,1,0,0,0,0,1
10990,1,1,1,0,-2.0,2046.0,0.0,1.0,0,1,0,0,0,0,1
10991,1,1,0,0,-2046.0,-2.0,0.0,1.0,0,1,0,0,0,0,1
10992,0,1,1,0,-2046.0,-2.0,0.0,1.0,0,1,0,0,0,0,1
10993,0,1,0,0,2.0,-2046.0,0.0,1.0,0,1,0,0,0,0,1
10994,0,1,1,0,2.0,-2046.0,0.0,1.0,0,1,0,0,0,0,1
10995,0,1,0,0,-2046.0,-2.0,3.0,1.0,0,1,1,1,0,1,0
10996,0,1,1,0,-2046.0,-2.0,3.0,1.0,0,1,1,1,0,1,0
10997,0,1,0,0,2.0,-2046.0,3.0,1.0,0,1,1,1,0,1,0
10998,0,1,1,0,2.0,-2046.0,3.0,1.0,0,1,1,1,0,1,0
